"","Date","Cumulative cases","Cumulative deaths"
"1",2020-01-01,0,0
"2",2020-01-02,0,0
"3",2020-01-03,0,0
"4",2020-01-04,0,0
"5",2020-01-05,2,0
"6",2020-01-06,3,0
"7",2020-01-07,3,0
"8",2020-01-08,3,0
"9",2020-01-09,3,0
"10",2020-01-10,5,0
"11",2020-01-11,6,0
"12",2020-01-12,8,0
"13",2020-01-13,10,0
"14",2020-01-14,11,0
"15",2020-01-15,13,0
"16",2020-01-16,13,0
"17",2020-01-17,13,0
"18",2020-01-18,15,0
"19",2020-01-19,16,0
"20",2020-01-20,16,0
"21",2020-01-21,16,0
"22",2020-01-22,16,0
"23",2020-01-23,16,0
"24",2020-01-24,16,0
"25",2020-01-25,16,0
"26",2020-01-26,17,0
"27",2020-01-27,17,0
"28",2020-01-28,18,0
"29",2020-01-29,18,0
"30",2020-01-30,18,0
"31",2020-01-31,18,0
"32",2020-02-01,20,0
"33",2020-02-02,20,0
"34",2020-02-03,21,0
"35",2020-02-04,21,0
"36",2020-02-05,21,0
"37",2020-02-06,21,0
"38",2020-02-07,21,0
"39",2020-02-08,22,0
"40",2020-02-09,22,0
"41",2020-02-10,23,0
"42",2020-02-11,23,0
"43",2020-02-12,23,0
"44",2020-02-13,24,0
"45",2020-02-14,25,0
"46",2020-02-15,27,0
"47",2020-02-16,27,0
"48",2020-02-17,31,0
"49",2020-02-18,31,0
"50",2020-02-19,31,0
"51",2020-02-20,32,0
"52",2020-02-21,34,0
"53",2020-02-22,34,0
"54",2020-02-23,35,0
"55",2020-02-24,39,0
"56",2020-02-25,40,0
"57",2020-02-26,42,0
"58",2020-02-27,48,1
"59",2020-02-28,52,1
"60",2020-02-29,55,1
"61",2020-03-01,69,1
"62",2020-03-02,76,1
"63",2020-03-03,86,1
"64",2020-03-04,95,1
"65",2020-03-05,102,1
"66",2020-03-06,110,1
"67",2020-03-07,124,1
"68",2020-03-08,138,1
"69",2020-03-09,164,1
"70",2020-03-10,188,1
"71",2020-03-11,217,1
"72",2020-03-12,254,1
"73",2020-03-13,317,1
"74",2020-03-14,393,1
"75",2020-03-15,460,2
"76",2020-03-16,572,2
"77",2020-03-17,696,3
"78",2020-03-18,833,3
"79",2020-03-19,954,4
"80",2020-03-20,1109,4
"81",2020-03-21,1228,4
"82",2020-03-22,1349,4
"83",2020-03-23,1566,5
"84",2020-03-24,1721,6
"85",2020-03-25,1895,10
"86",2020-03-26,2071,12
"87",2020-03-27,2299,22
"88",2020-03-28,2440,27
"89",2020-03-29,2569,32
"90",2020-03-30,2816,41
"91",2020-03-31,3025,49
"92",2020-04-01,3221,56
"93",2020-04-02,3443,59
"94",2020-04-03,3648,67
"95",2020-04-04,3794,71
"96",2020-04-05,3950,84
"97",2020-04-06,4248,95
"98",2020-04-07,4484,108
"99",2020-04-08,4689,118
"100",2020-04-09,4901,129
"101",2020-04-10,5080,141
"102",2020-04-11,5195,150
"103",2020-04-12,5307,160
"104",2020-04-13,5569,168
"105",2020-04-14,5745,180
"106",2020-04-15,5910,192
"107",2020-04-16,6122,204
"108",2020-04-17,6328,222
"109",2020-04-18,6519,239
"110",2020-04-19,6644,248
"111",2020-04-20,6937,256
"112",2020-04-21,7195,265
"113",2020-04-22,7439,283
"114",2020-04-23,7643,295
"115",2020-04-24,7851,309
"116",2020-04-25,8065,322
"117",2020-04-26,8238,337
"118",2020-04-27,8568,349
"119",2020-04-28,8880,361
"120",2020-04-29,9142,372
"121",2020-04-30,9438,386
"122",2020-05-01,9785,404
"123",2020-05-02,9919,416
"124",2020-05-03,10088,436
"125",2020-05-04,10414,455
"126",2020-05-05,10726,480
"127",2020-05-06,11038,491
"128",2020-05-07,11321,500
"129",2020-05-08,11608,519
"130",2020-05-09,11776,535
"131",2020-05-10,12008,546
"132",2020-05-11,12425,561
"133",2020-05-12,12816,575
"134",2020-05-13,13241,592
"135",2020-05-14,13657,614
"136",2020-05-15,14084,627
"137",2020-05-16,14376,636
"138",2020-05-17,14631,648
"139",2020-05-18,15141,665
"140",2020-05-19,15655,681
"141",2020-05-20,16193,701
"142",2020-05-21,16709,716
"143",2020-05-22,17105,728
"144",2020-05-23,17425,734
"145",2020-05-24,17707,752
"146",2020-05-25,18069,764
"147",2020-05-26,18646,782
"148",2020-05-27,19279,802
"149",2020-05-28,19792,821
"150",2020-05-29,20297,841
"151",2020-05-30,20685,856
"152",2020-05-31,21039,866
"153",2020-06-01,21786,882
"154",2020-06-02,22351,903
"155",2020-06-03,22954,919
"156",2020-06-04,23470,931
"157",2020-06-05,24072,945
"158",2020-06-06,24475,958
"159",2020-06-07,24838,976
"160",2020-06-08,25624,991
"161",2020-06-09,26341,1007
"162",2020-06-10,27132,1022
"163",2020-06-11,27882,1041
"164",2020-06-12,28568,1054
"165",2020-06-13,29010,1062
"166",2020-06-14,29421,1076
"167",2020-06-15,30380,1093
"168",2020-06-16,31194,1115
"169",2020-06-17,32109,1122
"170",2020-06-18,32985,1129
"171",2020-06-19,33910,1150
"172",2020-06-20,34569,1170
"173",2020-06-21,35170,1187
"174",2020-06-22,36430,1199
"175",2020-06-23,37555,1220
"176",2020-06-24,38716,1243
"177",2020-06-25,39869,1254
"178",2020-06-26,41036,1267
"179",2020-06-27,41804,1288
"180",2020-06-28,42649,1303
"181",2020-06-29,44331,1321
"182",2020-06-30,45873,1344
"183",2020-07-01,47611,1362
"184",2020-07-02,49347,1389
"185",2020-07-03,50565,1418
"186",2020-07-04,51198,1437
"187",2020-07-05,52096,1456
"188",2020-07-06,54773,1473
"189",2020-07-07,57391,1492
"190",2020-07-08,59923,1522
"191",2020-07-09,62273,1540
"192",2020-07-10,64708,1560
"193",2020-07-11,65739,1580
"194",2020-07-12,66648,1605
"195",2020-07-13,69279,1634
"196",2020-07-14,71717,1669
"197",2020-07-15,74040,1698
"198",2020-07-16,76291,1730
"199",2020-07-17,78279,1754
"200",2020-07-18,79380,1790
"201",2020-07-19,80303,1832
"202",2020-07-20,82950,1862
"203",2020-07-21,85189,1900
"204",2020-07-22,87237,1940
"205",2020-07-23,89129,1977
"206",2020-07-24,90657,2018
"207",2020-07-25,91589,2057
"208",2020-07-26,92383,2100
"209",2020-07-27,94599,2144
"210",2020-07-28,96658,2168
"211",2020-07-29,98651,2208
"212",2020-07-30,100247,2254
"213",2020-07-31,101589,2307
"214",2020-08-01,102545,2352
"215",2020-08-02,103387,2394
"216",2020-08-03,105400,2424
"217",2020-08-04,107068,2471
"218",2020-08-05,108642,2509
"219",2020-08-06,110166,2557
"220",2020-08-07,111487,2605
"221",2020-08-08,112260,2648
"222",2020-08-09,112908,2686
"223",2020-08-10,114527,2729
"224",2020-08-11,115875,2769
"225",2020-08-12,117079,2799
"226",2020-08-13,118179,2834
"227",2020-08-14,119248,2867
"228",2020-08-15,119898,2903
"229",2020-08-16,120495,2933
"230",2020-08-17,121694,2960
"231",2020-08-18,122734,2992
"232",2020-08-19,123783,3032
"233",2020-08-20,124818,3061
"234",2020-08-21,125938,3099
"235",2020-08-22,126679,3128
"236",2020-08-23,127517,3156
"237",2020-08-24,129227,3186
"238",2020-08-25,130653,3215
"239",2020-08-26,132084,3238
"240",2020-08-27,133478,3263
"241",2020-08-28,134743,3293
"242",2020-08-29,135393,3327
"243",2020-08-30,136115,3341
"244",2020-08-31,137535,3365
"245",2020-09-01,138935,3396
"246",2020-09-02,140241,3420
"247",2020-09-03,141319,3448
"248",2020-09-04,142323,3474
"249",2020-09-05,142908,3500
"250",2020-09-06,143488,3520
"251",2020-09-07,144198,3546
"252",2020-09-08,145563,3564
"253",2020-09-09,146682,3592
"254",2020-09-10,147678,3618
"255",2020-09-11,148606,3638
"256",2020-09-12,149232,3661
"257",2020-09-13,149826,3692
"258",2020-09-14,150921,3709
"259",2020-09-15,151911,3735
"260",2020-09-16,152822,3763
"261",2020-09-17,153651,3782
"262",2020-09-18,154502,3798
"263",2020-09-19,155067,3808
"264",2020-09-20,155650,3824
"265",2020-09-21,156781,3845
"266",2020-09-22,157687,3862
"267",2020-09-23,158496,3882
"268",2020-09-24,159297,3895
"269",2020-09-25,160156,3903
"270",2020-09-26,160752,3916
"271",2020-09-27,161344,3932
"272",2020-09-28,162486,3946
"273",2020-09-29,163304,3967
"274",2020-09-30,164212,3983
"275",2020-10-01,165048,4002
"276",2020-10-02,165918,4020
"277",2020-10-03,166564,4037
"278",2020-10-04,167240,4058
"279",2020-10-05,168518,4086
"280",2020-10-06,169578,4107
"281",2020-10-07,170723,4127
"282",2020-10-08,171784,4145
"283",2020-10-09,172889,4164
"284",2020-10-10,173668,4186
"285",2020-10-11,174413,4203
"286",2020-10-12,175803,4218
"287",2020-10-13,177092,4239
"288",2020-10-14,178231,4257
"289",2020-10-15,179417,4276
"290",2020-10-16,180540,4298
"291",2020-10-17,181287,4315
"292",2020-10-18,182101,4337
"293",2020-10-19,183652,4359
"294",2020-10-20,184989,4375
"295",2020-10-21,186318,4381
"296",2020-10-22,187700,4398
"297",2020-10-23,188951,4419
"298",2020-10-24,189751,4441
"299",2020-10-25,190655,4460
"300",2020-10-26,192496,4478
"301",2020-10-27,194192,4501
"302",2020-10-28,195672,4521
"303",2020-10-29,196976,4547
"304",2020-10-30,198194,4562
"305",2020-10-31,199013,4579
"306",2020-11-01,199951,4598
"307",2020-11-02,201711,4621
"308",2020-11-03,203185,4638
"309",2020-11-04,204816,4662
"310",2020-11-05,206639,4692
"311",2020-11-06,208325,4717
"312",2020-11-07,209517,4734
"313",2020-11-08,210754,4757
"314",2020-11-09,213672,4781
"315",2020-11-10,216144,4804
"316",2020-11-11,218551,4828
"317",2020-11-12,220918,4860
"318",2020-11-13,223018,4885
"319",2020-11-14,224450,4916
"320",2020-11-15,225846,4941
"321",2020-11-16,229042,4965
"322",2020-11-17,231673,4989
"323",2020-11-18,234237,5009
"324",2020-11-19,236763,5033
"325",2020-11-20,239051,5064
"326",2020-11-21,240566,5097
"327",2020-11-22,242167,5124
"328",2020-11-23,245592,5151
"329",2020-11-24,248564,5174
"330",2020-11-25,251374,5211
"331",2020-11-26,252106,5234
"332",2020-11-27,254969,5268
"333",2020-11-28,257147,5304
"334",2020-11-29,259507,5346
"335",2020-11-30,264500,5382
"336",2020-12-01,268553,5412
"337",2020-12-02,272341,5453
"338",2020-12-03,276129,5494
"339",2020-12-04,279543,5533
"340",2020-12-05,281728,5568
"341",2020-12-06,283953,5626
"342",2020-12-07,288991,5674
"343",2020-12-08,293091,5729
"344",2020-12-09,297190,5787
"345",2020-12-10,301470,5841
"346",2020-12-11,305390,5895
"347",2020-12-12,308026,5961
"348",2020-12-13,310675,6000
"349",2020-12-14,316767,6064
"350",2020-12-15,321747,6121
"351",2020-12-16,326328,6193
"352",2020-12-17,330699,6244
"353",2020-12-18,334576,6304
"354",2020-12-19,337155,6365
"355",2020-12-20,339693,6428
"356",2020-12-21,345579,6495
"357",2020-12-22,350453,6561
"358",2020-12-23,354886,6641
"359",2020-12-24,357415,6702
"360",2020-12-25,358382,6758
"361",2020-12-26,361860,6829
"362",2020-12-27,365009,6903
"363",2020-12-28,371876,6972
"364",2020-12-29,377736,7051
"365",2020-12-30,383408,7119
"366",2020-12-31,387780,7190
"367",2021-01-01,390114,7273
"368",2021-01-02,393590,7353
"369",2021-01-03,396932,7429
"370",2021-01-04,403675,7524
"371",2021-01-05,409142,7594
"372",2021-01-06,413817,7674
"373",2021-01-07,418183,7753
"374",2021-01-08,422073,7824
"375",2021-01-09,424442,7907
"376",2021-01-10,426496,7993
"377",2021-01-11,430793,8081
"378",2021-01-12,434307,8159
"379",2021-01-13,437639,8246
"380",2021-01-14,440907,8342
"381",2021-01-15,443970,8417
"382",2021-01-16,445853,8486
"383",2021-01-17,447658,8556
"384",2021-01-18,451125,8643
"385",2021-01-19,454478,8724
"386",2021-01-20,457483,8810
"387",2021-01-21,460388,8899
"388",2021-01-22,462985,8986
"389",2021-01-23,464615,9061
"390",2021-01-24,466267,9133
"391",2021-01-25,469653,9199
"392",2021-01-26,472578,9275
"393",2021-01-27,475130,9336
"394",2021-01-28,477473,9419
"395",2021-01-29,479434,9497
"396",2021-01-30,480685,9564
"397",2021-01-31,481920,9602
"398",2021-02-01,484381,9655
"399",2021-02-02,486373,9708
"400",2021-02-03,488115,9766
"401",2021-02-04,489762,9817
"402",2021-02-05,491348,9868
"403",2021-02-06,492324,9910
"404",2021-02-07,493243,9946
"405",2021-02-08,494942,9983
"406",2021-02-09,496414,10030
"407",2021-02-10,497770,10080
"408",2021-02-11,498932,10117
"409",2021-02-12,500024,10151
"410",2021-02-13,500779,10177
"411",2021-02-14,501421,10209
"412",2021-02-15,502422,10238
"413",2021-02-16,503126,10268
"414",2021-02-17,504239,10300
"415",2021-02-18,505131,10329
"416",2021-02-19,505919,10364
"417",2021-02-20,506524,10396
"418",2021-02-21,507101,10430
"419",2021-02-22,508141,10451
"420",2021-02-23,509005,10474
"421",2021-02-24,509992,10498
"422",2021-02-25,510754,10520
"423",2021-02-26,511426,10550
"424",2021-02-27,511873,10569
"425",2021-02-28,512376,10582
"426",2021-03-01,513212,10599
"427",2021-03-02,513808,10613
"428",2021-03-03,514366,10624
"429",2021-03-04,514893,10643
"430",2021-03-05,515415,10662
"431",2021-03-06,515781,10680
"432",2021-03-07,516124,10695
"433",2021-03-08,516656,10712
"434",2021-03-09,517173,10728
"435",2021-03-10,517660,10745
"436",2021-03-11,518142,10756
"437",2021-03-12,518646,10766
"438",2021-03-13,518942,10784
"439",2021-03-14,519245,10803
"440",2021-03-15,519829,10813
"441",2021-03-16,520317,10825
"442",2021-03-17,520721,10844
"443",2021-03-18,521194,10850
"444",2021-03-19,521589,10857
"445",2021-03-20,521926,10868
"446",2021-03-21,522200,10883
"447",2021-03-22,522752,10891
"448",2021-03-23,523204,10901
"449",2021-03-24,523623,10908
"450",2021-03-25,523944,10928
"451",2021-03-26,524312,10937
"452",2021-03-27,524604,10947
"453",2021-03-28,524884,10957
"454",2021-03-29,525348,10966
"455",2021-03-30,525768,10977
"456",2021-03-31,526120,10982
"457",2021-04-01,526514,10993
"458",2021-04-02,526883,11000
"459",2021-04-03,527139,11013
"460",2021-04-04,527382,11022
"461",2021-04-05,527952,11029
"462",2021-04-06,528425,11037
"463",2021-04-07,528878,11049
"464",2021-04-08,529300,11052
"465",2021-04-09,529743,11064
"466",2021-04-10,530068,11068
"467",2021-04-11,530373,11075
"468",2021-04-12,530980,11081
"469",2021-04-13,531476,11092
"470",2021-04-14,531954,11098
"471",2021-04-15,532387,11099
"472",2021-04-16,532817,11104
"473",2021-04-17,533098,11111
"474",2021-04-18,533426,11117
"475",2021-04-19,534012,11119
"476",2021-04-20,534478,11126
"477",2021-04-21,534934,11132
"478",2021-04-22,535328,11137
"479",2021-04-23,535731,11143
"480",2021-04-24,536014,11156
"481",2021-04-25,536300,11164
"482",2021-04-26,536816,11171
"483",2021-04-27,537266,11177
"484",2021-04-28,537755,11182
"485",2021-04-29,538168,11192
"486",2021-04-30,538539,11197
"487",2021-05-01,538838,11203
"488",2021-05-02,539130,11209
"489",2021-05-03,539642,11215
"490",2021-05-04,540029,11226
"491",2021-05-05,540428,11234
"492",2021-05-06,540784,11244
"493",2021-05-07,541108,11260
"494",2021-05-08,541364,11266
"495",2021-05-09,541593,11277
"496",2021-05-10,542011,11282
"497",2021-05-11,542338,11294
"498",2021-05-12,542722,11299
"499",2021-05-13,543062,11303
"500",2021-05-14,543359,11310
"501",2021-05-15,543580,11316
"502",2021-05-16,543806,11327
"503",2021-05-17,544188,11332
"504",2021-05-18,544478,11338
"505",2021-05-19,544754,11346
"506",2021-05-20,545036,11355
"507",2021-05-21,545332,11361
"508",2021-05-22,545532,11366
"509",2021-05-23,545696,11366
"510",2021-05-24,545971,11373
"511",2021-05-25,546182,11381
"512",2021-05-26,546389,11384
"513",2021-05-27,546582,11391
"514",2021-05-28,546749,11393
"515",2021-05-29,546863,11398
"516",2021-05-30,546997,11404
"517",2021-05-31,547138,11408
"518",2021-06-01,547395,11413
"519",2021-06-02,547598,11421
"520",2021-06-03,547770,11425
"521",2021-06-04,547906,11431
"522",2021-06-05,548019,11434
"523",2021-06-06,548146,11441
"524",2021-06-07,548356,11448
"525",2021-06-08,548511,11455
"526",2021-06-09,548689,11457
"527",2021-06-10,548832,11460
"528",2021-06-11,548986,11462
"529",2021-06-12,549093,11468
"530",2021-06-13,549218,11472
"531",2021-06-14,549412,11473
"532",2021-06-15,549552,11476
"533",2021-06-16,549744,11482
"534",2021-06-17,549907,11486
"535",2021-06-18,550062,11488
"536",2021-06-19,550181,11491
"537",2021-06-20,550327,11494
"538",2021-06-21,550543,11499
"539",2021-06-22,550753,11504
"540",2021-06-23,550991,11509
"541",2021-06-24,551205,11514
"542",2021-06-25,551421,11521
"543",2021-06-26,551622,11526
"544",2021-06-27,551843,11531
"545",2021-06-28,552160,11535
"546",2021-06-29,552427,11538
"547",2021-06-30,552704,11538
"548",2021-07-01,553016,11540
"549",2021-07-02,553313,11544
"550",2021-07-03,553576,11549
"551",2021-07-04,553814,11557
"552",2021-07-05,554222,11562
"553",2021-07-06,554722,11566
"554",2021-07-07,555235,11571
"555",2021-07-08,555784,11575
"556",2021-07-09,556317,11580
"557",2021-07-10,556750,11585
"558",2021-07-11,557260,11588
"559",2021-07-12,558154,11592
"560",2021-07-13,558986,11599
"561",2021-07-14,559960,11607
"562",2021-07-15,560992,11615
"563",2021-07-16,562071,11621
"564",2021-07-17,563028,11624
"565",2021-07-18,564096,11631
"566",2021-07-19,566043,11644
"567",2021-07-20,567887,11650
"568",2021-07-21,569699,11662
"569",2021-07-22,571752,11671
"570",2021-07-23,573839,11676
"571",2021-07-24,575514,11684
"572",2021-07-25,577412,11698
"573",2021-07-26,580581,11709
"574",2021-07-27,583606,11727
"575",2021-07-28,586888,11738
"576",2021-07-29,590029,11756
"577",2021-07-30,593036,11769
"578",2021-07-31,595261,11790
"579",2021-08-01,597906,11811
"580",2021-08-02,602631,11844
"581",2021-08-03,606994,11872
"582",2021-08-04,611107,11899
"583",2021-08-05,615169,11933
"584",2021-08-06,618975,11963
"585",2021-08-07,621745,12001
"586",2021-08-08,624740,12044
"587",2021-08-09,630113,12089
"588",2021-08-10,635155,12124
"589",2021-08-11,639971,12173
"590",2021-08-12,644538,12209
"591",2021-08-13,648818,12269
"592",2021-08-14,651833,12333
"593",2021-08-15,654974,12376
"594",2021-08-16,661292,12434
"595",2021-08-17,667206,12485
