"","Date","Cumulative cases","Cumulative deaths"
"1",2020-01-01,0,0
"2",2020-01-02,0,0
"3",2020-01-03,0,0
"4",2020-01-04,0,0
"5",2020-01-05,2,0
"6",2020-01-06,3,0
"7",2020-01-07,3,0
"8",2020-01-08,3,0
"9",2020-01-09,3,0
"10",2020-01-10,5,0
"11",2020-01-11,6,0
"12",2020-01-12,8,0
"13",2020-01-13,10,0
"14",2020-01-14,11,0
"15",2020-01-15,13,0
"16",2020-01-16,13,0
"17",2020-01-17,13,0
"18",2020-01-18,15,0
"19",2020-01-19,16,0
"20",2020-01-20,16,0
"21",2020-01-21,16,0
"22",2020-01-22,16,0
"23",2020-01-23,16,0
"24",2020-01-24,16,0
"25",2020-01-25,16,0
"26",2020-01-26,17,0
"27",2020-01-27,17,0
"28",2020-01-28,18,0
"29",2020-01-29,18,0
"30",2020-01-30,18,0
"31",2020-01-31,18,0
"32",2020-02-01,20,0
"33",2020-02-02,20,0
"34",2020-02-03,21,0
"35",2020-02-04,21,0
"36",2020-02-05,21,0
"37",2020-02-06,21,0
"38",2020-02-07,21,0
"39",2020-02-08,22,0
"40",2020-02-09,22,0
"41",2020-02-10,23,0
"42",2020-02-11,23,0
"43",2020-02-12,23,0
"44",2020-02-13,24,0
"45",2020-02-14,25,0
"46",2020-02-15,27,0
"47",2020-02-16,27,0
"48",2020-02-17,31,0
"49",2020-02-18,31,0
"50",2020-02-19,31,0
"51",2020-02-20,32,0
"52",2020-02-21,34,0
"53",2020-02-22,34,0
"54",2020-02-23,35,0
"55",2020-02-24,39,0
"56",2020-02-25,40,0
"57",2020-02-26,42,0
"58",2020-02-27,48,1
"59",2020-02-28,52,1
"60",2020-02-29,55,1
"61",2020-03-01,69,1
"62",2020-03-02,76,1
"63",2020-03-03,86,1
"64",2020-03-04,95,1
"65",2020-03-05,102,1
"66",2020-03-06,110,1
"67",2020-03-07,124,1
"68",2020-03-08,138,1
"69",2020-03-09,164,1
"70",2020-03-10,188,1
"71",2020-03-11,217,1
"72",2020-03-12,254,1
"73",2020-03-13,317,1
"74",2020-03-14,393,1
"75",2020-03-15,460,2
"76",2020-03-16,572,2
"77",2020-03-17,696,3
"78",2020-03-18,833,3
"79",2020-03-19,954,4
"80",2020-03-20,1109,4
"81",2020-03-21,1228,4
"82",2020-03-22,1349,4
"83",2020-03-23,1566,5
"84",2020-03-24,1721,6
"85",2020-03-25,1895,10
"86",2020-03-26,2071,12
"87",2020-03-27,2299,22
"88",2020-03-28,2440,27
"89",2020-03-29,2569,32
"90",2020-03-30,2817,41
"91",2020-03-31,3026,49
"92",2020-04-01,3222,56
"93",2020-04-02,3444,59
"94",2020-04-03,3649,67
"95",2020-04-04,3795,71
"96",2020-04-05,3951,84
"97",2020-04-06,4249,95
"98",2020-04-07,4485,108
"99",2020-04-08,4690,118
"100",2020-04-09,4902,129
"101",2020-04-10,5081,141
"102",2020-04-11,5196,150
"103",2020-04-12,5308,160
"104",2020-04-13,5570,168
"105",2020-04-14,5746,180
"106",2020-04-15,5911,192
"107",2020-04-16,6123,204
"108",2020-04-17,6329,222
"109",2020-04-18,6520,239
"110",2020-04-19,6645,248
"111",2020-04-20,6938,256
"112",2020-04-21,7196,265
"113",2020-04-22,7440,283
"114",2020-04-23,7644,295
"115",2020-04-24,7852,309
"116",2020-04-25,8066,322
"117",2020-04-26,8239,337
"118",2020-04-27,8569,349
"119",2020-04-28,8881,361
"120",2020-04-29,9143,372
"121",2020-04-30,9439,386
"122",2020-05-01,9786,404
"123",2020-05-02,9920,416
"124",2020-05-03,10089,436
"125",2020-05-04,10415,455
"126",2020-05-05,10727,480
"127",2020-05-06,11039,491
"128",2020-05-07,11322,500
"129",2020-05-08,11609,519
"130",2020-05-09,11777,535
"131",2020-05-10,12009,546
"132",2020-05-11,12426,561
"133",2020-05-12,12817,575
"134",2020-05-13,13242,592
"135",2020-05-14,13658,614
"136",2020-05-15,14085,627
"137",2020-05-16,14377,636
"138",2020-05-17,14632,648
"139",2020-05-18,15142,665
"140",2020-05-19,15656,681
"141",2020-05-20,16194,701
"142",2020-05-21,16710,716
"143",2020-05-22,17106,728
"144",2020-05-23,17426,734
"145",2020-05-24,17708,752
"146",2020-05-25,18070,764
"147",2020-05-26,18647,782
"148",2020-05-27,19280,802
"149",2020-05-28,19793,821
"150",2020-05-29,20297,841
"151",2020-05-30,20685,856
"152",2020-05-31,21039,866
"153",2020-06-01,21786,882
"154",2020-06-02,22351,903
"155",2020-06-03,22954,919
"156",2020-06-04,23470,931
"157",2020-06-05,24072,945
"158",2020-06-06,24475,958
"159",2020-06-07,24838,976
"160",2020-06-08,25624,991
"161",2020-06-09,26341,1007
"162",2020-06-10,27132,1022
"163",2020-06-11,27882,1041
"164",2020-06-12,28568,1054
"165",2020-06-13,29010,1062
"166",2020-06-14,29421,1076
"167",2020-06-15,30380,1093
"168",2020-06-16,31194,1115
"169",2020-06-17,32109,1122
"170",2020-06-18,32985,1129
"171",2020-06-19,33910,1150
"172",2020-06-20,34569,1170
"173",2020-06-21,35170,1187
"174",2020-06-22,36431,1199
"175",2020-06-23,37556,1220
"176",2020-06-24,38717,1243
"177",2020-06-25,39870,1254
"178",2020-06-26,41037,1267
"179",2020-06-27,41806,1288
"180",2020-06-28,42651,1303
"181",2020-06-29,44332,1321
"182",2020-06-30,45874,1344
"183",2020-07-01,47612,1362
"184",2020-07-02,49348,1389
"185",2020-07-03,50566,1418
"186",2020-07-04,51199,1437
"187",2020-07-05,52097,1456
"188",2020-07-06,54774,1473
"189",2020-07-07,57392,1492
"190",2020-07-08,59923,1522
"191",2020-07-09,62273,1540
"192",2020-07-10,64708,1560
"193",2020-07-11,65739,1580
"194",2020-07-12,66648,1605
"195",2020-07-13,69279,1634
"196",2020-07-14,71717,1669
"197",2020-07-15,74040,1698
"198",2020-07-16,76291,1730
"199",2020-07-17,78279,1754
"200",2020-07-18,79380,1790
"201",2020-07-19,80303,1832
"202",2020-07-20,82950,1862
"203",2020-07-21,85189,1900
"204",2020-07-22,87238,1940
"205",2020-07-23,89130,1977
"206",2020-07-24,90658,2018
"207",2020-07-25,91590,2057
"208",2020-07-26,92384,2100
"209",2020-07-27,94600,2144
"210",2020-07-28,96660,2168
"211",2020-07-29,98653,2208
"212",2020-07-30,100249,2254
"213",2020-07-31,101590,2307
"214",2020-08-01,102546,2352
"215",2020-08-02,103388,2394
"216",2020-08-03,105402,2424
"217",2020-08-04,107070,2471
"218",2020-08-05,108644,2509
"219",2020-08-06,110167,2557
"220",2020-08-07,111488,2605
"221",2020-08-08,112261,2648
"222",2020-08-09,112909,2686
"223",2020-08-10,114528,2729
"224",2020-08-11,115876,2769
"225",2020-08-12,117080,2799
"226",2020-08-13,118180,2834
"227",2020-08-14,119249,2867
"228",2020-08-15,119899,2903
"229",2020-08-16,120496,2933
"230",2020-08-17,121695,2960
"231",2020-08-18,122735,2992
"232",2020-08-19,123784,3032
"233",2020-08-20,124819,3061
"234",2020-08-21,125939,3099
"235",2020-08-22,126680,3128
"236",2020-08-23,127518,3156
"237",2020-08-24,129229,3186
"238",2020-08-25,130655,3215
"239",2020-08-26,132086,3238
"240",2020-08-27,133480,3263
"241",2020-08-28,134745,3293
"242",2020-08-29,135395,3327
"243",2020-08-30,136117,3341
"244",2020-08-31,137537,3365
"245",2020-09-01,138937,3396
"246",2020-09-02,140243,3420
"247",2020-09-03,141321,3448
"248",2020-09-04,142325,3474
"249",2020-09-05,142910,3500
"250",2020-09-06,143490,3520
"251",2020-09-07,144200,3546
"252",2020-09-08,145565,3564
"253",2020-09-09,146684,3592
"254",2020-09-10,147680,3618
"255",2020-09-11,148608,3638
"256",2020-09-12,149234,3661
"257",2020-09-13,149828,3692
"258",2020-09-14,150923,3709
"259",2020-09-15,151913,3735
"260",2020-09-16,152824,3763
"261",2020-09-17,153653,3782
"262",2020-09-18,154504,3798
"263",2020-09-19,155069,3808
"264",2020-09-20,155652,3824
"265",2020-09-21,156783,3845
"266",2020-09-22,157689,3862
"267",2020-09-23,158498,3882
"268",2020-09-24,159299,3895
"269",2020-09-25,160158,3903
"270",2020-09-26,160754,3916
"271",2020-09-27,161346,3932
"272",2020-09-28,162488,3946
"273",2020-09-29,163306,3967
"274",2020-09-30,164214,3983
"275",2020-10-01,165050,4002
"276",2020-10-02,165920,4020
"277",2020-10-03,166566,4037
"278",2020-10-04,167242,4058
"279",2020-10-05,168520,4086
"280",2020-10-06,169580,4107
"281",2020-10-07,170725,4127
"282",2020-10-08,171786,4145
"283",2020-10-09,172892,4164
"284",2020-10-10,173671,4186
"285",2020-10-11,174416,4203
"286",2020-10-12,175806,4218
"287",2020-10-13,177095,4239
"288",2020-10-14,178233,4257
"289",2020-10-15,179419,4276
"290",2020-10-16,180542,4298
"291",2020-10-17,181289,4315
"292",2020-10-18,182103,4337
"293",2020-10-19,183654,4359
"294",2020-10-20,184992,4375
"295",2020-10-21,186321,4381
"296",2020-10-22,187703,4398
"297",2020-10-23,188954,4419
"298",2020-10-24,189754,4441
"299",2020-10-25,190658,4460
"300",2020-10-26,192499,4478
"301",2020-10-27,194195,4501
"302",2020-10-28,195675,4521
"303",2020-10-29,196979,4547
"304",2020-10-30,198197,4562
"305",2020-10-31,199015,4579
"306",2020-11-01,199953,4598
"307",2020-11-02,201714,4621
"308",2020-11-03,203188,4638
"309",2020-11-04,204818,4662
"310",2020-11-05,206641,4692
"311",2020-11-06,208327,4717
"312",2020-11-07,209519,4734
"313",2020-11-08,210756,4757
"314",2020-11-09,213674,4781
"315",2020-11-10,216146,4804
"316",2020-11-11,218553,4828
"317",2020-11-12,220922,4860
"318",2020-11-13,223021,4885
"319",2020-11-14,224452,4916
"320",2020-11-15,225848,4941
"321",2020-11-16,229044,4965
"322",2020-11-17,231676,4989
"323",2020-11-18,234240,5009
"324",2020-11-19,236766,5033
"325",2020-11-20,239054,5064
"326",2020-11-21,240570,5097
"327",2020-11-22,242171,5124
"328",2020-11-23,245595,5151
"329",2020-11-24,248567,5174
"330",2020-11-25,251377,5211
"331",2020-11-26,252109,5234
"332",2020-11-27,254972,5268
"333",2020-11-28,257150,5304
"334",2020-11-29,259510,5346
"335",2020-11-30,264503,5382
"336",2020-12-01,268556,5412
"337",2020-12-02,272344,5453
"338",2020-12-03,276132,5494
"339",2020-12-04,279546,5533
"340",2020-12-05,281731,5568
"341",2020-12-06,283956,5626
"342",2020-12-07,288995,5674
"343",2020-12-08,293095,5729
"344",2020-12-09,297195,5787
"345",2020-12-10,301475,5841
"346",2020-12-11,305395,5895
"347",2020-12-12,308032,5961
"348",2020-12-13,310681,6000
"349",2020-12-14,316771,6064
"350",2020-12-15,321751,6121
"351",2020-12-16,326332,6193
"352",2020-12-17,330703,6244
"353",2020-12-18,334580,6304
"354",2020-12-19,337159,6365
"355",2020-12-20,339697,6428
"356",2020-12-21,345583,6495
"357",2020-12-22,350457,6561
"358",2020-12-23,354890,6641
"359",2020-12-24,357419,6702
"360",2020-12-25,358386,6758
"361",2020-12-26,361864,6829
"362",2020-12-27,365013,6903
"363",2020-12-28,371880,6972
"364",2020-12-29,377741,7051
"365",2020-12-30,383415,7119
"366",2020-12-31,387787,7190
"367",2021-01-01,390121,7273
"368",2021-01-02,393597,7353
"369",2021-01-03,396939,7429
"370",2021-01-04,403682,7524
"371",2021-01-05,409147,7594
"372",2021-01-06,413822,7674
"373",2021-01-07,418188,7753
"374",2021-01-08,422078,7824
"375",2021-01-09,424447,7907
"376",2021-01-10,426501,7993
"377",2021-01-11,430798,8081
"378",2021-01-12,434310,8159
"379",2021-01-13,437642,8246
"380",2021-01-14,440910,8342
"381",2021-01-15,443973,8417
"382",2021-01-16,445856,8486
"383",2021-01-17,447661,8556
"384",2021-01-18,451128,8643
"385",2021-01-19,454481,8724
"386",2021-01-20,457487,8810
"387",2021-01-21,460392,8899
"388",2021-01-22,462988,8986
"389",2021-01-23,464618,9061
"390",2021-01-24,466270,9133
"391",2021-01-25,469656,9199
"392",2021-01-26,472581,9275
"393",2021-01-27,475133,9336
"394",2021-01-28,477476,9419
"395",2021-01-29,479437,9497
"396",2021-01-30,480688,9564
"397",2021-01-31,481923,9602
"398",2021-02-01,484384,9655
"399",2021-02-02,486376,9708
"400",2021-02-03,488118,9766
"401",2021-02-04,489765,9817
"402",2021-02-05,491352,9868
"403",2021-02-06,492328,9910
"404",2021-02-07,493247,9946
"405",2021-02-08,494946,9983
"406",2021-02-09,496418,10030
"407",2021-02-10,497774,10080
"408",2021-02-11,498936,10117
"409",2021-02-12,500028,10151
"410",2021-02-13,500783,10177
"411",2021-02-14,501425,10209
"412",2021-02-15,502426,10238
"413",2021-02-16,503130,10268
"414",2021-02-17,504243,10300
"415",2021-02-18,505135,10329
"416",2021-02-19,505923,10364
"417",2021-02-20,506528,10396
"418",2021-02-21,507105,10430
"419",2021-02-22,508145,10451
"420",2021-02-23,509009,10474
"421",2021-02-24,509996,10498
"422",2021-02-25,510758,10520
"423",2021-02-26,511430,10550
"424",2021-02-27,511877,10569
"425",2021-02-28,512380,10582
"426",2021-03-01,513216,10599
"427",2021-03-02,513810,10613
"428",2021-03-03,514368,10624
"429",2021-03-04,514894,10643
"430",2021-03-05,515416,10662
"431",2021-03-06,515782,10680
"432",2021-03-07,516125,10695
"433",2021-03-08,516657,10712
"434",2021-03-09,517174,10728
"435",2021-03-10,517661,10745
"436",2021-03-11,518143,10756
"437",2021-03-12,518647,10766
"438",2021-03-13,518943,10784
"439",2021-03-14,519246,10803
"440",2021-03-15,519830,10813
"441",2021-03-16,520318,10825
"442",2021-03-17,520722,10844
"443",2021-03-18,521195,10850
"444",2021-03-19,521590,10857
"445",2021-03-20,521927,10868
"446",2021-03-21,522201,10883
"447",2021-03-22,522753,10891
"448",2021-03-23,523205,10901
"449",2021-03-24,523624,10908
"450",2021-03-25,523945,10928
"451",2021-03-26,524313,10937
"452",2021-03-27,524605,10947
"453",2021-03-28,524885,10957
"454",2021-03-29,525349,10966
"455",2021-03-30,525769,10977
"456",2021-03-31,526121,10982
"457",2021-04-01,526515,10993
"458",2021-04-02,526884,11000
"459",2021-04-03,527140,11013
"460",2021-04-04,527383,11022
"461",2021-04-05,527953,11029
"462",2021-04-06,528426,11037
"463",2021-04-07,528879,11049
"464",2021-04-08,529301,11052
"465",2021-04-09,529744,11064
"466",2021-04-10,530069,11068
"467",2021-04-11,530374,11075
"468",2021-04-12,530981,11081
"469",2021-04-13,531477,11092
"470",2021-04-14,531955,11098
"471",2021-04-15,532388,11099
"472",2021-04-16,532819,11104
"473",2021-04-17,533100,11111
"474",2021-04-18,533428,11117
"475",2021-04-19,534014,11119
"476",2021-04-20,534480,11126
"477",2021-04-21,534936,11132
"478",2021-04-22,535330,11137
"479",2021-04-23,535733,11143
"480",2021-04-24,536016,11156
"481",2021-04-25,536302,11164
"482",2021-04-26,536818,11171
"483",2021-04-27,537268,11177
"484",2021-04-28,537757,11182
"485",2021-04-29,538170,11192
"486",2021-04-30,538541,11197
"487",2021-05-01,538840,11203
"488",2021-05-02,539132,11209
"489",2021-05-03,539644,11215
"490",2021-05-04,540031,11226
"491",2021-05-05,540430,11234
"492",2021-05-06,540786,11244
"493",2021-05-07,541110,11260
"494",2021-05-08,541366,11266
"495",2021-05-09,541595,11277
"496",2021-05-10,542013,11282
"497",2021-05-11,542340,11294
"498",2021-05-12,542724,11299
"499",2021-05-13,543063,11303
"500",2021-05-14,543360,11310
"501",2021-05-15,543581,11316
"502",2021-05-16,543807,11327
"503",2021-05-17,544189,11332
"504",2021-05-18,544479,11338
"505",2021-05-19,544755,11346
"506",2021-05-20,545037,11355
"507",2021-05-21,545333,11361
"508",2021-05-22,545533,11366
"509",2021-05-23,545697,11366
"510",2021-05-24,545972,11373
"511",2021-05-25,546183,11381
"512",2021-05-26,546390,11384
"513",2021-05-27,546583,11391
"514",2021-05-28,546750,11393
"515",2021-05-29,546864,11398
"516",2021-05-30,546998,11404
"517",2021-05-31,547139,11408
"518",2021-06-01,547396,11413
"519",2021-06-02,547599,11421
"520",2021-06-03,547771,11425
"521",2021-06-04,547907,11431
"522",2021-06-05,548020,11434
"523",2021-06-06,548147,11441
"524",2021-06-07,548357,11448
"525",2021-06-08,548512,11455
"526",2021-06-09,548690,11457
"527",2021-06-10,548833,11460
"528",2021-06-11,548987,11462
"529",2021-06-12,549094,11468
"530",2021-06-13,549219,11472
"531",2021-06-14,549413,11473
"532",2021-06-15,549553,11476
"533",2021-06-16,549745,11482
"534",2021-06-17,549908,11486
"535",2021-06-18,550063,11488
"536",2021-06-19,550182,11491
"537",2021-06-20,550328,11494
"538",2021-06-21,550544,11499
"539",2021-06-22,550754,11504
"540",2021-06-23,550992,11509
"541",2021-06-24,551206,11514
"542",2021-06-25,551422,11521
"543",2021-06-26,551623,11526
"544",2021-06-27,551844,11531
"545",2021-06-28,552161,11535
"546",2021-06-29,552428,11538
"547",2021-06-30,552705,11538
"548",2021-07-01,553017,11540
"549",2021-07-02,553314,11544
"550",2021-07-03,553577,11549
"551",2021-07-04,553815,11557
"552",2021-07-05,554223,11562
"553",2021-07-06,554723,11566
"554",2021-07-07,555236,11571
"555",2021-07-08,555785,11575
"556",2021-07-09,556318,11580
"557",2021-07-10,556751,11585
"558",2021-07-11,557261,11588
"559",2021-07-12,558155,11592
"560",2021-07-13,558987,11599
"561",2021-07-14,559961,11607
"562",2021-07-15,560993,11615
"563",2021-07-16,562072,11621
"564",2021-07-17,563029,11624
"565",2021-07-18,564097,11631
"566",2021-07-19,566044,11644
"567",2021-07-20,567888,11650
"568",2021-07-21,569701,11662
"569",2021-07-22,571754,11671
"570",2021-07-23,573841,11676
"571",2021-07-24,575515,11684
"572",2021-07-25,577413,11698
"573",2021-07-26,580582,11709
"574",2021-07-27,583606,11727
"575",2021-07-28,586888,11738
"576",2021-07-29,590029,11756
"577",2021-07-30,593036,11769
"578",2021-07-31,595261,11790
"579",2021-08-01,597907,11811
"580",2021-08-02,602632,11844
"581",2021-08-03,606995,11872
"582",2021-08-04,611108,11899
"583",2021-08-05,615170,11933
"584",2021-08-06,618977,11963
"585",2021-08-07,621749,12001
"586",2021-08-08,624741,12044
"587",2021-08-09,630115,12089
"588",2021-08-10,635157,12124
"589",2021-08-11,639972,12173
"590",2021-08-12,644539,12209
"591",2021-08-13,648819,12269
"592",2021-08-14,651834,12333
"593",2021-08-15,654975,12376
"594",2021-08-16,661293,12434
"595",2021-08-17,667208,12485
