"","Date","Cases per day","Cumulative cases","Cases in the last 7 days","7-day average of daily cases","14-day average of daily cases"
"1",2020-01-01,0,0,0,NA,NA
"2",2020-01-02,0,0,0,NA,NA
"3",2020-01-03,0,0,0,NA,NA
"4",2020-01-04,0,0,0,NA,NA
"5",2020-01-05,0,0,0,NA,NA
"6",2020-01-06,0,0,0,NA,NA
"7",2020-01-07,0,0,0,0,NA
"8",2020-01-08,0,0,0,0,NA
"9",2020-01-09,0,0,0,0,NA
"10",2020-01-10,0,0,0,0,NA
"11",2020-01-11,0,0,0,0,NA
"12",2020-01-12,0,0,0,0,NA
"13",2020-01-13,0,0,0,0,NA
"14",2020-01-14,0,0,0,0,0
"15",2020-01-15,0,0,0,0,0
"16",2020-01-16,0,0,0,0,0
"17",2020-01-17,0,0,0,0,0
"18",2020-01-18,0,0,0,0,0
"19",2020-01-19,0,0,0,0,0
"20",2020-01-20,0,0,0,0,0
"21",2020-01-21,0,0,0,0,0
"22",2020-01-22,0,0,0,0,0
"23",2020-01-23,0,0,0,0,0
"24",2020-01-24,0,0,0,0,0
"25",2020-01-25,0,0,0,0,0
"26",2020-01-26,0,0,0,0,0
"27",2020-01-27,0,0,0,0,0
"28",2020-01-28,0,0,0,0,0
"29",2020-01-29,0,0,0,0,0
"30",2020-01-30,0,0,0,0,0
"31",2020-01-31,0,0,0,0,0
"32",2020-02-01,0,0,0,0,0
"33",2020-02-02,0,0,0,0,0
"34",2020-02-03,0,0,0,0,0
"35",2020-02-04,0,0,0,0,0
"36",2020-02-05,0,0,0,0,0
"37",2020-02-06,0,0,0,0,0
"38",2020-02-07,0,0,0,0,0
"39",2020-02-08,0,0,0,0,0
"40",2020-02-09,0,0,0,0,0
"41",2020-02-10,0,0,0,0,0
"42",2020-02-11,0,0,0,0,0
"43",2020-02-12,0,0,0,0,0
"44",2020-02-13,0,0,0,0,0
"45",2020-02-14,0,0,0,0,0
"46",2020-02-15,0,0,0,0,0
"47",2020-02-16,0,0,0,0,0
"48",2020-02-17,0,0,0,0,0
"49",2020-02-18,0,0,0,0,0
"50",2020-02-19,0,0,0,0,0
"51",2020-02-20,0,0,0,0,0
"52",2020-02-21,0,0,0,0,0
"53",2020-02-22,0,0,0,0,0
"54",2020-02-23,0,0,0,0,0
"55",2020-02-24,0,0,0,0,0
"56",2020-02-25,0,0,0,0,0
"57",2020-02-26,0,0,0,0,0
"58",2020-02-27,0,0,0,0,0
"59",2020-02-28,0,0,0,0,0
"60",2020-02-29,0,0,0,0,0
"61",2020-03-01,0,0,0,0,0
"62",2020-03-02,0,0,0,0,0
"63",2020-03-03,0,0,0,0,0
"64",2020-03-04,0,0,0,0,0
"65",2020-03-05,0,0,0,0,0
"66",2020-03-06,0,0,0,0,0
"67",2020-03-07,0,0,0,0,0
"68",2020-03-08,0,0,0,0,0
"69",2020-03-09,0,0,0,0,0
"70",2020-03-10,0,0,0,0,0
"71",2020-03-11,3,3,3,0,0
"72",2020-03-12,1,4,4,1,0
"73",2020-03-13,4,8,8,1,1
"74",2020-03-14,7,15,15,2,1
"75",2020-03-15,13,28,28,4,2
"76",2020-03-16,8,36,36,5,3
"77",2020-03-17,15,51,51,7,4
"78",2020-03-18,10,61,58,8,4
"79",2020-03-19,27,88,84,12,6
"80",2020-03-20,27,115,107,15,8
"81",2020-03-21,34,149,134,19,11
"82",2020-03-22,31,180,152,22,13
"83",2020-03-23,44,224,188,27,16
"84",2020-03-24,70,294,243,35,21
"85",2020-03-25,173,467,406,58,33
"86",2020-03-26,102,569,481,69,40
"87",2020-03-27,108,677,562,80,48
"88",2020-03-28,117,794,645,92,56
"89",2020-03-29,79,873,693,99,60
"90",2020-03-30,121,994,770,110,68
"91",2020-03-31,62,1056,762,109,72
"92",2020-04-01,112,1168,701,100,79
"93",2020-04-02,196,1364,795,114,91
"94",2020-04-03,235,1599,922,132,106
"95",2020-04-04,121,1720,926,132,112
"96",2020-04-05,177,1897,1024,146,123
"97",2020-04-06,173,2070,1076,154,132
"98",2020-04-07,229,2299,1243,178,143
"99",2020-04-08,306,2605,1437,205,153
"100",2020-04-09,340,2945,1581,226,170
"101",2020-04-10,158,3103,1504,215,173
"102",2020-04-11,233,3336,1616,231,182
"103",2020-04-12,321,3657,1760,251,199
"104",2020-04-13,202,3859,1789,256,205
"105",2020-04-14,171,4030,1731,247,212
"106",2020-04-15,264,4294,1689,241,223
"107",2020-04-16,157,4451,1506,215,220
"108",2020-04-17,92,4543,1440,206,210
"109",2020-04-18,230,4773,1437,205,218
"110",2020-04-19,190,4963,1306,187,219
"111",2020-04-20,184,5147,1288,184,220
"112",2020-04-21,241,5388,1358,194,221
"113",2020-04-22,289,5677,1383,198,219
"114",2020-04-23,206,5883,1432,205,210
"115",2020-04-24,192,6075,1532,219,212
"116",2020-04-25,182,6257,1484,212,209
"117",2020-04-26,201,6458,1495,214,200
"118",2020-04-27,146,6604,1457,208,196
"119",2020-04-28,199,6803,1415,202,198
"120",2020-04-29,159,6962,1285,184,191
"121",2020-04-30,206,7168,1285,184,194
"122",2020-05-01,254,7422,1347,192,206
"123",2020-05-02,260,7682,1425,204,208
"124",2020-05-03,278,7960,1502,215,214
"125",2020-05-04,225,8185,1581,226,217
"126",2020-05-05,317,8502,1699,243,222
"127",2020-05-06,248,8750,1788,255,220
"128",2020-05-07,344,9094,1926,275,229
"129",2020-05-08,321,9415,1993,285,239
"130",2020-05-09,283,9698,2016,288,246
"131",2020-05-10,260,9958,1998,285,250
"132",2020-05-11,280,10238,2053,293,260
"133",2020-05-12,305,10543,2041,292,267
"134",2020-05-13,256,10799,2049,293,274
"135",2020-05-14,339,11138,2044,292,284
"136",2020-05-15,332,11470,2055,294,289
"137",2020-05-16,334,11804,2106,301,294
"138",2020-05-17,310,12114,2156,308,297
"139",2020-05-18,299,12413,2175,311,302
"140",2020-05-19,386,12799,2256,322,307
"141",2020-05-20,359,13158,2359,337,315
"142",2020-05-21,404,13562,2424,346,319
"143",2020-05-22,364,13926,2456,351,322
"144",2020-05-23,373,14299,2495,356,329
"145",2020-05-24,351,14650,2536,362,335
"146",2020-05-25,633,15283,2870,410,360
"147",2020-05-26,588,15871,3072,439,381
"148",2020-05-27,363,16234,3076,439,388
"149",2020-05-28,485,16719,3157,451,399
"150",2020-05-29,513,17232,3306,472,412
"151",2020-05-30,427,17659,3360,480,418
"152",2020-05-31,513,18172,3522,503,433
"153",2020-06-01,324,18496,3213,459,434
"154",2020-06-02,209,18705,2834,405,422
"155",2020-06-03,220,18925,2691,384,412
"156",2020-06-04,308,19233,2514,359,405
"157",2020-06-05,648,19881,2649,378,425
"158",2020-06-06,444,20325,2666,381,430
"159",2020-06-07,420,20745,2573,368,435
"160",2020-06-08,490,21235,2739,391,425
"161",2020-06-09,567,21802,3097,442,424
"162",2020-06-10,824,22626,3701,529,457
"163",2020-06-11,708,23334,4101,586,472
"164",2020-06-12,1031,24365,4484,641,510
"165",2020-06-13,958,25323,4998,714,547
"166",2020-06-14,819,26142,5397,771,569
"167",2020-06-15,302,26444,5209,744,568
"168",2020-06-16,546,26990,5188,741,592
"169",2020-06-17,903,27893,5267,752,641
"170",2020-06-18,729,28622,5288,755,671
"171",2020-06-19,547,29169,4804,686,663
"172",2020-06-20,456,29625,4302,615,664
"173",2020-06-21,438,30063,3921,560,666
"174",2020-06-22,647,30710,4266,609,677
"175",2020-06-23,1120,31830,4840,691,716
"176",2020-06-24,984,32814,4921,703,728
"177",2020-06-25,996,33810,5188,741,748
"178",2020-06-26,1022,34832,5663,809,748
"179",2020-06-27,179,35011,5386,769,692
"180",2020-06-28,1415,36426,6363,909,735
"181",2020-06-29,1081,37507,6797,971,790
"182",2020-06-30,882,38389,6559,937,814
"183",2020-07-01,1164,39553,6739,963,833
"184",2020-07-02,1687,41240,7430,1061,901
"185",2020-07-03,908,42148,7316,1045,927
"186",2020-07-04,956,43104,8093,1156,963
"187",2020-07-05,797,43901,7475,1068,988
"188",2020-07-06,901,44802,7295,1042,1007
"189",2020-07-07,1392,46194,7805,1115,1026
"190",2020-07-08,1783,47977,8424,1203,1083
"191",2020-07-09,1519,49496,8256,1179,1120
"192",2020-07-10,1628,51124,8976,1282,1164
"193",2020-07-11,1462,52586,9482,1355,1255
"194",2020-07-12,1968,54554,10653,1522,1295
"195",2020-07-13,1390,55944,11142,1592,1317
"196",2020-07-14,2100,58044,11850,1693,1404
"197",2020-07-15,1910,59954,11977,1711,1457
"198",2020-07-16,1929,61883,12387,1770,1474
"199",2020-07-17,2017,63900,12776,1825,1554
"200",2020-07-18,2022,65922,13336,1905,1630
"201",2020-07-19,1558,67480,12926,1847,1684
"202",2020-07-20,1502,68982,13038,1863,1727
"203",2020-07-21,1355,70337,12293,1756,1724
"204",2020-07-22,1991,72328,12374,1768,1739
"205",2020-07-23,2076,74404,12521,1789,1779
"206",2020-07-24,2102,76506,12606,1801,1813
"207",2020-07-25,1386,77892,11970,1710,1808
"208",2020-07-26,1759,79651,12171,1739,1793
"209",2020-07-27,1307,80958,11976,1711,1787
"210",2020-07-28,1450,82408,12071,1724,1740
"211",2020-07-29,1945,84353,12025,1718,1743
"212",2020-07-30,2001,86354,11950,1707,1748
"213",2020-07-31,1592,87946,11440,1634,1718
"214",2020-08-01,2021,89967,12075,1725,1718
